"word","is_pun","pun_type","sentence"
"dough","false","","The baker kneaded the dough for twenty minutes before letting it rest overnight."
"dough","true","homographic","He never worries about rent since his bakery brings in serious dough every month."
"cheese","false","","The cheese platter included a sharp cheddar, a soft brie, and a smoky gouda."
"cheese","true","homographic","The mayor grinned for the cameras, clearly the big cheese of the whole campaign."
"bacon","false","","She fried the bacon slowly so the strips would turn crisp without burning."
"bacon","true","homographic","After the layoffs, only one manager managed to bring home the bacon that month."
"bread","false","","The bakery's sourdough bread had a thick crust and a soft, tangy center."
"bread","true","homographic","As the sole breadwinner, she felt the pressure of supporting the whole family."
"honey","false","","The beekeeper harvested honey from the hive just before the first frost."
"honey","true","homographic","Honey, could you grab the mail on your way in, he called from the kitchen."
"sugar","false","","The recipe called for a cup of sugar and a teaspoon of vanilla extract."
"sugar","true","homographic","Grandma always called her grandchildren sugar whenever they visited on Sundays."
"jam","false","","She spread a thick layer of strawberry jam over the warm toast."
"jam","true","homographic","Traffic was jammed for miles after the accident on the interstate this morning."
"corn","false","","The farmer harvested rows of sweet corn just before the summer fair."
"corn","true","homographic","The comedian's jokes were so corny that half the audience just groaned."
"egg","false","","She cracked two eggs into the bowl and whisked them until smooth."
"egg","true","homographic","His friends egged him on until he finally agreed to sing karaoke."
"ham","false","","The deli sliced the ham thin for the sandwiches ordered at lunch."
"ham","true","homographic","The actor hammed it up so much that the director had to cut the scene."
"turkey","false","","They roasted a whole turkey for six hours before the holiday dinner."
"turkey","true","homographic","The heist went so badly that the crew called it a total turkey of a plan."
"chicken","false","","The farmer let the chickens out to peck around the yard each morning."
"chicken","true","homographic","He chickened out of the roller coaster the moment he saw the first drop."
"pig","false","","The pig rolled happily in the mud behind the old red barn."
"pig","true","homographic","Stop being such a pig and save some fries for the rest of us."
"crab","false","","The fishermen pulled up a dozen crabs tangled in the wire trap."
"crab","true","homographic","He was so crabby this morning that nobody dared speak to him before coffee."
"clam","false","","They dug for clams along the shoreline at low tide."
"clam","true","homographic","She told him to clam up before he said something he would regret."
"oyster","false","","The chef shucked the oysters and served them on a bed of ice."
"oyster","true","homographic","With her new promotion, she felt like the world was finally her oyster."
"potato","false","","He peeled the potatoes and diced them for the Sunday stew."
"potato","true","homographic","He spent the whole weekend as a couch potato, binge-watching old sitcoms."
"bean","false","","The farmer planted three rows of green beans along the back fence."
"bean","true","homographic","After the lottery win, he was suddenly full of beans and big plans."
"nut","false","","The squirrel buried the nut beneath the roots of the old oak tree."
"nut","true","homographic","Her brother is completely nuts about vintage motorcycles and old radios."
"toast","false","","She buttered the toast and set it beside the scrambled eggs."
"toast","true","homographic","If the manager finds out about the missing funds, you are toast."
"roll","false","","The bakery sold warm dinner rolls fresh out of the oven each evening."
"roll","true","homographic","After three straight wins, the whole team felt like they were on a roll."
"crust","false","","She rolled out the pie crust until it was thin and even."
"crust","true","homographic","Only the upper crust of society was invited to the gallery opening."
"peach","false","","The orchard's peaches were ripe, juicy, and ready to be picked."
"peach","true","homographic","Everything about the vacation went peachy from the moment they landed."
"lemon","false","","She squeezed a fresh lemon over the grilled fish before serving it."
"lemon","true","homographic","The used car turned out to be a total lemon within a week."
"cherry","false","","He picked a handful of cherries straight from the backyard tree."
"cherry","true","homographic","Winning the award was just the cherry on top of an already great year."
"banana","false","","The monkey peeled the banana and ate it in three quick bites."
"banana","true","homographic","The whole office went bananas when they announced the surprise holiday bonus."
"apple","false","","She packed an apple and a sandwich for her son's lunch."
"apple","true","homographic","Their youngest daughter is truly the apple of her grandfather's eye."
"cream","false","","The chef whipped the cream until soft peaks began to form."
"cream","true","homographic","The finalists were the cream of the crop after months of tryouts."
"pickle","false","","He sliced the pickle and added it to the sandwich."
"pickle","true","homographic","Forgetting the tickets at home left them in quite a pickle at the airport."
"beef","false","","The butcher trimmed the beef before grinding it for burgers."
"beef","true","homographic","She had a real beef with how the meeting was scheduled without her."
"fish","false","","They caught three fish before the sun even rose over the lake."
"fish","true","homographic","Something about his explanation seemed fishy from the very start."
"salad","false","","She tossed the salad with olive oil, lemon juice, and fresh herbs."
"salad","true","homographic","His answer to the question was pure word salad and made no sense."
"cookie","false","","The kids decorated sugar cookies with frosting and sprinkles."
"cookie","true","homographic","Despite the setback, she remained a tough cookie and refused to give up."
"tart","false","","The bakery's lemon tart had a buttery crust and a tangy filling."
"tart","true","homographic","His tart reply left the whole room a little stunned."
"batter","false","","She whisked the pancake batter until it was smooth and lump-free."
"batter","true","homographic","The rookie batter struck out twice before finally connecting in the ninth."
"dressing","false","","He drizzled a light vinaigrette dressing over the mixed greens."
"dressing","true","homographic","She was still dressing when the doorbell rang unexpectedly early."
"noodle","false","","The broth simmered for hours before the noodles were added."
"noodle","true","homographic","Use your noodle for a second before you sign anything you haven't read."
"cake","false","","She frosted the birthday cake with layers of chocolate ganache."
"cake","true","homographic","Compared to finals week, this exam was going to be a piece of cake."
"pie","false","","The pie cooled on the windowsill after coming out of the oven."
"pie","true","homographic","His promise of a big promotion turned out to be pie in the sky."
"gravy","false","","She poured warm gravy over the mashed potatoes and turkey."
"gravy","true","homographic","Once the loan was paid off, every extra dollar felt like gravy."
"spice","false","","The chef added a pinch of spice to balance the sweetness."
"spice","true","homographic","A weekend road trip really helped spice things up during a dull summer."
"salt","false","","He seasoned the soup with a bit more salt before serving."
"salt","true","homographic","Given his track record, I would take his promises with a grain of salt."
"pepper","false","","She ground fresh black pepper over the pasta before plating it."
