"word","is_pun","pun_type","sentence"
"otter","false","","Sea otters wrap themselves in kelp so they do not drift away while sleeping."
"otter","false","","A group of otters resting together on the water's surface is called a raft."
"otter","false","","Otters use rocks as tools to crack open shellfish and crustaceans."
"otter","false","","A baby otter is called a pup and stays close to its mother for months."
"otter","false","","Otters often hold hands while floating so they do not separate during sleep."
"otter","true","homophonic","On the otter hand, we could just reschedule the whole meeting for next week."
"otter","true","homophonic","After thirty years together, she still calls him her significant otter."
"otter","true","homophonic","He stared out at the stars, wondering what was really out there in otter space."
"otter","true","homophonic","She said losing her keys twice in one day was otterly ridiculous."
"otter","true","homophonic","There was no otter way to fix the leaking pipe except calling a plumber."
"otter","true","homophonic","Maybe we should grab dinner some otter time when things calm down."
"otter","true","homophonic","The whole meeting devolved into otter nonsense within the first ten minutes."
"otter","true","homophonic","He was otterly delighted when the package finally arrived a week early."
"otter","true","homophonic","The twins finished each otter's sentences all through dinner."
"otter","true","homophonic","It rained every otter day for almost two weeks straight that spring."
"otter","true","homophonic","One after the otter, the dominoes toppled across the entire kitchen table."
"otter","true","homophonic","He couldn't otter a single word when he saw the surprise party."
"otter","true","homophonic","The critics were otterly divided over the director's strange new film."
"otter","true","homophonic","The joke landed so badly that the room went otterly quiet."
"otter","true","homophonic","By the end of the hike, they were otterly exhausted but strangely happy."
"bear","false","","The bear foraged for berries along the edge of the forest."
"bear","true","homographic","She wasn't sure she could bear another delay in the shipping schedule."
"bull","false","","The bull grazed quietly in the pasture behind the old barn."
"bull","true","homographic","He charged into the meeting like a bull in a china shop."
"fox","false","","The fox slipped through the hedge just after sunset."
"fox","true","homographic","She managed to outfox her opponent with a clever last-minute move."
"hare","false","","The hare darted across the meadow, chased by nothing at all."
"hare","true","homophonic","He barely had time to brush his hair before the interview started."
"whale","false","","The whale surfaced briefly before diving back into the deep water."
"whale","true","homographic","The kids had a whale of a time at the amusement park."
"seal","false","","The seal balanced a ball on its nose during the show."
"seal","true","homographic","They shook hands to seal the deal before lunch."
"mouse","false","","The mouse scurried behind the wall the moment the light flicked on."
"mouse","true","homographic","His computer mouse stopped working right before the big presentation."
"ram","false","","The ram butted heads with a rival on the rocky hillside."
"ram","true","homographic","The old laptop needed more RAM before it could run the new software."
"crane","false","","A crane waded through the shallow marsh, hunting for fish."
"crane","true","homographic","He had to crane his neck to see over the crowd at the concert."
"duck","false","","The duck paddled calmly across the pond with her ducklings."
"duck","true","homographic","He had to duck quickly to avoid the low doorway."
"deer","false","","A deer grazed quietly at the edge of the clearing."
"deer","true","homophonic","Dear, have you seen my keys, she called from the hallway."
"fly","false","","A fly buzzed around the kitchen all afternoon."
"fly","true","homographic","They hoped to fly out before the storm grounded every flight."
